director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Action,the 355
Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,Horror,the legend of la llorona
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,Horror,scream
"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,Animation,hotel transylvania: transformania
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,shattered
D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Drama,redeeming love
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Fantasy,the king's daughter
Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,Family,the tiger rising
Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch,Drama,the fallout
"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,Family,home team
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,Animation,the ice age adventures of buck wild
Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson,Crime,clean
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Comedy,jackass forever
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,Science,moonfall
Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,Action,last looks
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers,Thriller,kimi
D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,Horror,shut in
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Crime,death on the nile
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,Romance,marry me
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Action,blacklight
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,Comedy,i want you back
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Comedy,tall girl 2
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,Drama,the sky is everywhere
Arie Posin,Joey King,Kyle Allen,Kim Dickens,Romance,the in between
Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,Action,fistful of vengeance
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,Action,uncharted
"Reid Carolin, Channing Tatum",Channing Tatum,Jane Adams,Kevin Nash,Drama,dog
David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Horror,texas chainsaw massacre
Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,Horror,the cursed
Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,Fantasy,a fairy tale after all
Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Drama,cyrano
BJ McDonell,Dave Grohl,Taylor Hawkins,Nate Mendel,Comedy,studio 666
Tyler Perry,Tyler Perry,Cassi Davis,David Mann,Comedy,a madea homecoming
Damien Power,Havana Rose Liu,Danny Ramirez,Dennis Haysbert,Horror,no exit
Edward John Drake,Bruce Willis,Luke Wilson,Devon Sawa,Action,gasoline alley
Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,Crime,the batman
"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr.",Kogonada (writer/director); Colin Farrell,Jodie Turner-Smith,Justin H. Min,Drama,after yang
Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,Horror,fresh
Wes Miller,Kevin Dillon,Bruce Willis,Frank Grillo,Action,a day to die
Shawn Levy,Ryan Reynolds,Mark Ruffalo,Jennifer Garner,Action,the adam project
Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse,Animation,turning red
