director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,"Action,Thriller",the 355
Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,"Horror,Thriller",the legend of la llorona
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,"Horror,Mystery,Thriller",scream
"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,"Animation,Family,Fantasy,Comedy,Adventure",hotel transylvania: transformania
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,shattered
D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,"Drama,History,Romance",redeeming love
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,"Fantasy,Drama,Romance,History",the king's daughter
Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,"Family,Adventure",the tiger rising
Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch,Drama,the fallout
"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,"Family,Comedy",home team
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,"Animation,Comedy,Adventure,Family",the ice age adventures of buck wild
Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson,"Crime,Drama,Thriller",clean
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,"Comedy,Action,Documentary",jackass forever
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,"Science,Fiction,Adventure,Action",moonfall
Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,"Action,Crime,Thriller",last looks
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers,Thriller,kimi
D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,"Horror,Thriller",shut in
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,"Crime,Drama,Mystery,Thriller",death on the nile
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,"Romance,Comedy,Music",marry me
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,"Action,Thriller",blacklight
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,"Comedy,Romance",i want you back
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,"Comedy,Romance",tall girl 2
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,"Drama,Romance,Music",the sky is everywhere
Arie Posin,Joey King,Kyle Allen,Kim Dickens,"Romance,Science,Fiction,Drama",the in between
Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,"Action,Crime,Fantasy",fistful of vengeance
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,"Action,Adventure",uncharted
"Reid Carolin, Channing Tatum",Channing Tatum,Jane Adams,Kevin Nash,"Drama,Comedy",dog
