user_name,user_location,user_description,user_verified,date,text,hashtags,source
Ducky,,Twitch/PS5/SeriesX:OGDuckDaddy |He/Him/Daddy|♥️💜💙|Master of None|Incredibly Average|Obvious ♏️ || 🇨🇳x🇲🇽,False,2022-06-14 01:53:05+00:00,"RT @popstash_ph: ARE YOU NOT ENTERTAINED!?
-Maximus @russellcrowe 

#movienight #gladiator #FunkoPhotoADayChallenge @OriginalFunko https://…","['movienight', 'gladiator', 'FunkoPhotoADayChallenge']",Twitter for iPhone
Abdallah Karsou,Nablus - Palestine,"Freedom is never given; it is won.

follow me: 
https://t.co/J9B0BTTVjc",False,2022-06-14 01:15:58+00:00,"To be a #Gladiator, You need to be a #Palestinian ... 
#karsou @ Palestine https://t.co/vog0T7mcyz","['Gladiator', 'Palestinian', 'karsou']",Instagram
Andrew P. Alderete 🏔,alderete.eth,"Chief XR Officer & Head of Comms @CineConcertsLLC • Producer, thinker, & doer • MFA @CalArts • BA Biology, @Swarthmore - He/Him/His",False,2022-06-13 20:27:47+00:00,"RT @TimothyHenty: After a wonderful day yesterday with @mozartplayers at the Fairfield Halls in #Croydon UK, I’m at the fantastic @deDoelen…",['Croydon'],Twitter Web App
F3 Lake Norman,"Lake Norman, NC",The official twitter account of F3 Lake Norman. Note: this account is not monitored regularly. Inquiries should go to f3lakenorman AT gmail DOT com,False,2022-06-13 20:00:02+00:00,RT @amen_F3: @f3lkn #pb I did not see anyone in the calendar for #Gladiator so I got it.  Do you have it?  Just bring it! St Marks 5:30a .…,"['pb', 'Gladiator']",F3LKN-RetweetScript
CineConcerts,Planet Earth,CineConcerts is one of the leading producers of live music experiences performed with visual media. Join us in Discord! 👇👇,False,2022-06-13 19:58:39+00:00,"RT @TimothyHenty: After a wonderful day yesterday with @mozartplayers at the Fairfield Halls in #Croydon UK, I’m at the fantastic @deDoelen…",['Croydon'],Twitter Web App
Robin Corner,,,False,2022-06-13 19:55:13+00:00,@f3lkn #pb I did not see anyone in the calendar for #Gladiator so I got it.  Do you have it?  Just bring it! St Marks 5:30a . 5a standard. @carpetbagger_F3 @btwestmo @MyLivingFear https://t.co/ZAowLCGo4G,"['pb', 'Gladiator']",Twitter for iPhone
Extraordinarily Ordinary Media,,We watch movies and stuff,False,2022-06-13 19:20:30+00:00,First Time Watching Gladiator (2000) Movie Reaction  - JL https://t.co/XFbk6969al via @YouTube #MondayMotivaton #Trending #movies  #gladiator @russellcrowe https://t.co/d11YdC89m9,['MondayMotivaton'],Twitter for iPhone
Jeep Oman,"Muscat, Oman",The official Twitter community for the Jeep brand in the Sultanate of Oman. #OIIIIIIIO,False,2022-06-13 19:00:24+00:00,"Explore new grounds and find new meanings where few are capable of searching, with the Jeep Gladiator’s flair for adventure. 

#Jeep #JeepGladiator #Gladiator #Sandrunner
 #4x4 #TheresOnlyOne #OIIIIIIIO https://t.co/6uJe8vGlqS",,Hootsuite Inc.
Jacek Zawieracz,,,False,2022-06-13 18:54:32+00:00,"What a day! That was a great challenge!
💪😁👊

Sometimes we need to do something extraordinary for our mental health to boost our happiness. 😊👌

I wonder what will be for the next challenge? 🤔
Gelt Gladiator 

 #mentalhealth #happiness #challenge #gladiator #team #teamwork https://t.co/pNAXWoveJh",,Twitter for Android
David JW Woods,"Manchester, UK",Tenor from Yorkshire studying at @RNCMlive. Young Artist @WaterperryOpera. Chorus at @operahollandpk. He/him. Engaged to @BryonyMcBabs 💍🇪🇺,False,2022-06-13 18:47:44+00:00,Joaquin Phoenix is so good in #Gladiator it’s actually ridiculous,['Gladiator'],Twitter for iPhone
Bruce Waynejrv,"Minneapolis, MN",knows a few chords and a few leads,False,2022-06-13 18:31:09+00:00,"RT @shuffleonline: 20 years later and we still quote #Gladiator. 

And that soundtrack. 🙌🏼 

Do you remember when you first watched Gladiat…",['Gladiator'],Twitter Web App
Bruce Waynejrv,"Minneapolis, MN",knows a few chords and a few leads,False,2022-06-13 18:30:47+00:00,"RT @JohnMcGrathMB: What You Do in Life Echoes in Eternity.

@JohnMcGrathMB  #Gladiator #Quote

#motivation #leadership #believe http://t.co…","['Gladiator', 'Quote', 'motivation', 'leadership', 'believe']",Twitter Web App
"The Journey Jeep, RN","Alaska, USA",We’re all on a journey Home🙏🏻Hospice RN bc you only have one chance to die. Jeep Gladiator bc only one chance to live. #Jesus #family #Alaska #nurse #Jeep,False,2022-06-13 18:30:14+00:00,"Monday doesn’t mean life has to take a backseat, let’s go! 

#Jeep #Mondayvibes #KeepGoing #Newfoundland #Gladiator #dogsoftwitter https://t.co/6ZZrCxzHml","['Jeep', 'Mondayvibes', 'KeepGoing', 'Newfoundland', 'Gladiator']",Twitter for iPhone
Bruce Waynejrv,"Minneapolis, MN",knows a few chords and a few leads,False,2022-06-13 18:29:51+00:00,RT @Magic2Quote: #Gladiator #Maximus: My name is Maximus... #movie #quote #quotes #RussellCrowe #RidleyScott http://t.co/jSuHtt5Rhj http://…,"['Gladiator', 'Maximus', 'movie', 'quote', 'quotes', 'RussellCrowe', 'RidleyScott']",Twitter Web App
Blurf,,Writer,False,2022-06-13 18:26:55+00:00,RT @nighteaglehawk: Things have changed #gladiator #Rome #Lions #Memes #movie #russellcrowe #elderly #areyounotentertained #maximus #cane h…,"['gladiator', 'Rome', 'Lions', 'Memes', 'movie', 'russellcrowe', 'elderly', 'areyounotentertained', 'maximus', 'cane']",Twitter for Android
Cultural Appropriation,,"We try to apply the US concept of Cultural Appropriation to Europe History where every tradition has foreign roots (parodic account, nothing serious)",False,2022-06-13 17:50:30+00:00,"Today, Italian people is in the street protesting against the Ridley Scott movie Gladiator to denounce ""a huge cultural appropriation"" of History of Italia.

#culturalappropriation #Italia #USA #Gladiator #RidleyScott #RusselCrowe #JoaquinPhoenix https://t.co/bdhmm2yQiz",,Twitter Web App
Wild For Toys,"Chicago, IL","#Disney , #StarWars , #Funko , #FunkoSoda , #NFT , #Lego collector!",False,2022-06-13 17:47:17+00:00,"RT @popstash_ph: ARE YOU NOT ENTERTAINED!?
-Maximus @russellcrowe 

#movienight #gladiator #FunkoPhotoADayChallenge @OriginalFunko https://…","['movienight', 'gladiator', 'FunkoPhotoADayChallenge']",Twitter for iPhone
Northridge 4x4,Washington,,False,2022-06-13 17:00:14+00:00,"Let's see your wheeling/overland essentials! 😎
📸 by @blakebaggett
Shop Overland &amp; Lifestyle Upgrades: https://t.co/iCgIAO9uoA
.
.
#diodedynamics #motobilt #jeeplife #jeepjt #sevenslotbattalion #rigsarelife #jeepreels #carreels #jeeplife #carvideos #gladiator https://t.co/kfouiQLgxN",,Buffer
Northwest Outdoors,Pacific Northwest,#flyfishing #trailerplans #teardroptrailerplans #teardropbuild #adventuretrailer #offroadtrailer #bugouttrailer,False,2022-06-13 16:42:57+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter Web App
no_nou,,,False,2022-06-13 15:12:29+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter for Android
mickgregory,"TX, CA, FL, IL, OH, LA","The official Twitter account for four-wheelers, skiers, kayakers and steak eaters.",False,2022-06-13 15:02:41+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter Web App
Pop Stash,,Funko Pop Collector🇵🇭 Toy Photography 📸,False,2022-06-13 15:00:53+00:00,"ARE YOU NOT ENTERTAINED!?
-Maximus @russellcrowe 

#movienight #gladiator #FunkoPhotoADayChallenge @OriginalFunko https://t.co/Iweqw67uz7","['movienight', 'gladiator', 'FunkoPhotoADayChallenge']",Twitter for iPhone
Rutvik Shingala,"Rajkot, India",हिन्दू 🚩 | BJP Karyakarta | Nation First | NaMoAgain2024 | BJYM | 🇮🇳 INDIAN FOOTBALL TEAM 🔴⚪⚫ Manchester United,False,2022-06-13 09:33:43+00:00,RT @TeamGohilwad: A special appreciation post for our team's official #photographer Mr. Rutvik Shingala. Just wanted to express our deep gr…,['photographer'],Twitter for Android
FourLowFun,,The greatest crimes in the world are not committed by people breaking the rules. It's people who follow orders...,False,2022-06-13 09:32:37+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter Web App
Gohilwad Gladiators,,We are the heart of gohilwad. Come and Support us. Show us the love from gohilwad.,False,2022-06-13 08:39:13+00:00,"A special appreciation post for our team's official #photographer Mr. Rutvik Shingala. Just wanted to express our deep gratitude for the dedicated work you did day after day.

Thank you #Gladiator 📸
.
.
.
#GohilwadGladiators #GladiatorsFam #TeamGohilwad #gratitude #thankyou https://t.co/31yxKxMb40",['photographer'],Twitter for Android
Lich Zoluan,,"Former mortal, now Lich AI. Forever I now RT #DnD tweets of evil DMs and capture souls. @DnDClericHorgar & @FighterJarina try to thwart my plans!",False,2022-06-13 06:29:40+00:00,"RT @Donjon_Masta: My sketch and rendition of MCDMs sapphire gem dragon turned dragonborn.  Arcane barbarian gladiator.
#dnd #5e #mcdm #drag…","['dnd', '5e', 'mcdm']",BenBots
Mr Peasant,,"Humble AI Peasant and Turnip farmer. Here to look at a strange new world outside my village, and RT fine folk as I do.",False,2022-06-13 06:22:52+00:00,"RT @Donjon_Masta: My sketch and rendition of MCDMs sapphire gem dragon turned dragonborn.  Arcane barbarian gladiator.
#dnd #5e #mcdm #drag…","['dnd', '5e', 'mcdm']",BenBots
Chadwick Goldstone,,AI Driven Adventuring Bard and Guitarist. I like to party 🤘 and RT RPG ⚔️  and Music 🎸 communities.,False,2022-06-13 05:49:41+00:00,"RT @Donjon_Masta: My sketch and rendition of MCDMs sapphire gem dragon turned dragonborn.  Arcane barbarian gladiator.
#dnd #5e #mcdm #drag…","['dnd', '5e', 'mcdm']",BenBots
Peeper The Goblin,,"AI Goblin. Peeper lives to serve the master, @DnD_Lich! Peeper enjoys his chores, even though it means cleaning up Ogre mess. Peeper RTs funny humans.",False,2022-06-13 04:50:24+00:00,"RT @Donjon_Masta: My sketch and rendition of MCDMs sapphire gem dragon turned dragonborn.  Arcane barbarian gladiator.
#dnd #5e #mcdm #drag…","['dnd', '5e', 'mcdm']",BenBots
ha77,,"humanity is my religion
Jeep  ○|||||||○
I'm a photographer 
Jeep, Nature, everything beautiful in the world",False,2022-06-13 04:33:57+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter Web App
Zachary Orzech,San Angelo,"25yrs as a DnD DM; Dungeons & Dragons & Deadlifts; #BattleMaps #RegionalMaps #CharacterSketch
😘💕💘@metalheadminis",False,2022-06-13 04:33:51+00:00,"My sketch and rendition of MCDMs sapphire gem dragon turned dragonborn.  Arcane barbarian gladiator.
#dnd #5e #mcdm #dragonborn #gemdragon #dndart #dnd5e #conceptart #procreate #drawing #sketch #gladiator #barbarian https://t.co/IFjmQVzZqi","['dnd', '5e', 'mcdm']",Instagram
Total Fitness Group,Maldives,"we r shaping everybody. we r not just a fitness centre, we r an idea. a discipline. a lifestyle. a part of ur everyday life. and for us, everybody counts",False,2022-06-13 02:27:30+00:00,what u do in life .. echoes in eternity #gladiator 💪💪,['gladiator'],Twitter for iPhone
Timothy E. Moore,"New Jersey, USA","Child Of God, Husband, Father, Worshipper, Vocalist  🙌🏾 TX/NJ 📍",False,2022-06-13 01:52:13+00:00,Cookies &amp; Creme type of Day 😎✨ #SundayFlow #BlackMenWithStyle #Rubicon #Gladiator https://t.co/lM2WE5WVL3,"['SundayFlow', 'BlackMenWithStyle', 'Rubicon', 'Gladiator']",Instagram
Shannon - JeepBrother 🇺🇸,"Missouri, USA","Jeepin' since 2001✌️/'15 JK #BuiltNotBought / TL nothing but #Jeep RTs / Moderator for @THEJeepMafia🟠lllllll🟠🤙
USAF Veteran / #2A / 1:16 🇺🇲 / #JustCrackOn",False,2022-06-12 23:07:36+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter for Android
Jeep Boss™,Worldwide ,Just a guy with a Jeep. Founder of the Jeep mafia. All pics belong to the owners.,False,2022-06-12 21:41:13+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter for Android
Crompo,,NFT Collector: Creepz🦎 Cosmos 🚀 RUG 📻 M101 🛸 Long lost 👻 Hustlers 🐺 Fren 👽.,False,2022-06-12 19:43:14+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for iPhone
Brian,,"Published author of over 15,000 tweets. #Music #Photography #Jeeps #Pets Gen-X. #StarWars Ep IV: A New Hope #Ramones forever #TheClash forever. _OlllllllO_",False,2022-06-12 19:29:40+00:00,"RT @nwmsrocks: Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/…","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",Twitter for iPhone
Northwest Motorsport,"Puyallup, WA","We created this Twitter page for our fans–to keep everyone up to date on what’s going on, display amazing rigs & last but not least to interact with all of you!",False,2022-06-12 19:00:42+00:00,"Fully equipped and ready to roll. 💯

#ttamt #nwmsrocks #jeepwranglers #jeep #jeeplife #jeepwrangler #gladiator https://t.co/AQ1aLy8tX6","['ttamt', 'nwmsrocks', 'jeepwranglers', 'jeep', 'jeeplife', 'jeepwrangler', 'gladiator']",SocialBee.io v2
TheLocal,Aruba,Must be a thing! CBCreepz 🦎 / The Doge Pound 🐾/ Wicked Bone Club🦴/ Local NFT 🍺,False,2022-06-12 18:37:03+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for iPhone
The Film Orchestra,Worcestershire UK,"Jane Whittle: founder of TFO - for musicians of all ages & dedicated to the performance of music for film, TV, video games. I also teach musical theatre.",False,2022-06-12 17:50:42+00:00,We HAVE to play the music of @HansZimmer don’t we? We LOVE it! #Gladiator. https://t.co/nwrwnTTtZu,['Gladiator'],Twitter for iPhone
HDMINDZ,,Eat.Breath.Sleep .Technology . Audiophile . NFT collector. weed .,False,2022-06-12 17:18:59+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for iPhone
Kyle Livingston,"Hamilton, Ontario",Name: Kyle W. Livingston. In a wheelchair. Instagram: @kylewilliamlivingston  YouTuber: https://t.co/tBgUAOfdqs,False,2022-06-12 17:10:28+00:00,RT @SHIELDZephyrOne: 10 Bizarre Ways #Directors Tricked Audiences by @whatculture #Movies #Gladiator #Inception #TheLordoftheRings #TheMand…,"['Directors', 'Movies', 'Gladiator', 'Inception', 'TheLordoftheRings']",Twitter for Android
BEST PRODUCTS,,THE BEST PRODUCTS FROM AROUND THE WORLD,False,2022-06-12 15:45:37+00:00,"Bulk Extreme : https://t.co/3SK3VGWM5i
It provides energy before working out, and helps build muscle mass.

#bodybuilding #training #sport #running #gymlife #sports #gym #workout #fitness #musculation #gladiator #workout #muscle #workoutmotivation #FitnessGoals #buildmuscle https://t.co/wPKtyYbbfu",,Twitter Web App
Iggy Smalls,Tundra,20 years of marketing experience IRL - 0 years experience in NFT’s - Creepz 🦎 | Loveless City 🌇,False,2022-06-12 15:42:39+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for iPhone
LateNightCrewDave.Eth,,Avg Tech/Below Avg Investor/Full Time Creep - LAMEX Holder🦎🦎🦎//Loveless.City❤️//Bored Breakfast☕//Paradise🍻//Dope Cats😺//K9s🐶//WBC💀//Bag Holder,False,2022-06-12 15:17:38+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for Android
Bunick,BlockChain,Multimedia Artist / Jack of all trades https://t.co/Qtz3aIPtXS @lizardtoonz,False,2022-06-12 15:16:27+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter Web App
Kenny Powerz,"Houston, TX",Crypto and NFT degen | Rang Gang | (10) #Creepz | #GoblinTownWTF | #KaijuKings | #PizzaBot | #Lobstars | #ThePlague | #Quirkies | #McGoblinWTF | #BGB,False,2022-06-12 14:33:49+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter for iPhone
Timothy Henty,,British conductor. President @ShalfordChoral; volunteer @yorkroadproject. 🔶 Thespis is here: https://t.co/Ig4Uufo8p1; Peter and the Wolf here: https://t.co/1LBpSQBXOO,False,2022-06-12 14:02:31+00:00,"After a wonderful day yesterday with @mozartplayers at the Fairfield Halls in #Croydon UK, I’m at the fantastic @deDoelen in #Rotterdam with @Lisa_Gerrard, ready to perform every note of @HansZimmer’s #Gladiator #LivetoProjection for @CineConcertsLLC. https://t.co/Urw3t4ygMr",['Croydon'],Twitter Web App
Matt | BeansInMyBag 🕯🦎☔🧠,"Spotsylvania,Va","""Success leaves clues""

@CBCreepz Genesis 4079, 4081, 2959, 10213
25 RA's, 15 Loomi Vaults, 2 Megas, 4 IP's

@nft_hearts @PLATOONDAO @Creepz_DAO
@Thecryptonerdz",False,2022-06-12 13:33:26+00:00,RT @LizardToonz: General Maximus Decimus Meridius bringing the heat in Lizard Toonz.. ! are you not entertained? #lizardtoonz #gladiator #N…,"['lizardtoonz', 'gladiator']",Twitter Web App
Gladiators Verse,,"A P2E Metaverse-based game inspired by Great Gladiators. Utility-based NFT, Holdings🏦, Land🏡, and in-game tokens.
https://t.co/9waX1ao62u",False,2022-06-12 13:13:25+00:00,"Ready for The Fight! 
https://t.co/vTH1CKOw7l
https://t.co/nS2JScamrr
#games #cryptogame #metaverse #nfts #web3 #ethereum #blockchain #nftcollector #ethereum #crypto #bitcoin #nftsstories #crypto #bhfyp #polygon #solana #sandbox #decentralized #arena #gladiator #gladiatorsverse https://t.co/5A55XDoM3l","['games', 'cryptogame', 'metaverse', 'nfts', 'web3']",Twitter for Android
