user_name,user_location,user_description,user_verified,date,text,hashtags,source
BookZoid,,Helping Readers find their next favorite Book,False,2022-06-13 23:34:21+00:00,"Chained Words

Thirty-five amazing science fiction short stories in one book!

#ChainedWords #ScienceFiccion #KindleBooks #scifi #scifibooks #robots 
#AI #Interstellar #dystopian  
https://t.co/w4PQ1C8EAo
by #Javier___Dario","['ChainedWords', 'ScienceFiccion']",BookzoidBooks
ملک 🇵🇰🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇳☪️,Glan yr Afon,"Anglophone musulman | hindko pashtun | Ayub khan super fan

Typos abound",False,2022-06-13 22:20:32+00:00,RT @gErmO18: The Infinite Library: #Interstellar https://t.co/iywn6N7SD7,['Interstellar'],Twitter Web App
👾 {'name' : 'Lugo'},"Mexico, City",#Ingeniero #Computación 💻 #UNAM 🇲🇽  | Software ⌨ | Geek 😎 | Tech | Melómano 🔊| Party 🎉| Admin: @cyberbl0g,False,2022-06-13 21:15:27+00:00,The Infinite Library: #Interstellar https://t.co/iywn6N7SD7,['Interstellar'],Twitter for iPhone
BookMojo,"NH, USA",📘 A Place for #Readers  |  #PR & #AuthorServices  |  #BlogTours |  📚 #BookBlogger  |  ❤️ #AvonAddictAlumni,False,2022-06-13 20:27:04+00:00,“The finale to the Indigo Reports series is...Wow!”  ⭐ The #IndigoReports series by #CameronCooper ⭐ #sciencefiction #scifi #spaceopera #future #spacetravel #adventure #interstellar #mystery @CamAuthor @BookMojo https://t.co/wzUSvUUDhR  | More Retailers https://t.co/92Q9PDqq9A https://t.co/NScwXR6ZEN,"['IndigoReports', 'CameronCooper']",Tweet Suite
Charlotte Bays,"London, England",Researching astromaterials @NHM_London @RoyalHolloway @ARIES_DTP | #Astrobiology #Cosmochemistry | @UK_Fireball @SCAMP_Meteors | Don't Panic! ☄️ Views my own ✨,False,2022-06-13 18:57:37+00:00,"RT @Josep_Trigo: About 1% of meter-sized hazardous projectiles can be #Interstellar. And, among the 99% arriving from our own Solar System,…",['Interstellar'],Twitter for Android
Julian Roman,New York City,"Film critic, raconteur, praying for dolphins to grow thumbs and do better.",False,2022-06-13 18:56:28+00:00,"#Lightyear is a thrilling space adventure loaded with ❤ &amp; 😂 @Pixar delivers what #Interstellar should have been, glowing review 2mrw @movieweb","['Lightyear', 'Interstellar']",Twitter for Android
Daniel Christopher Perez,"Miami, Florida","Hello everyone! I’m a Cuban, Peruvian and Scottish American who has a wonderful older sister and two wonderful younger sisters and an overall great family! 😁👍",False,2022-06-13 18:45:55+00:00,"RT @Luiz_Fernando_J: In #Korea’s #BoxOffice, phenom #TheRoundUp keeps climbing after strong 2.7M on 4th SUN, for a 84.9M cume, beating #Ala…","['Korea', 'BoxOffice', 'TheRoundUp']",Twitter for iPhone
Kabir Bageria,"Toronto, Ontario",He/Him. On-Air Host for @weathernetwork. Host & Producer of Keeping Afloat. Cruise Director               🏙🇨🇦☀️🏳️‍🌈🧘🏽‍♂️🚢,True,2022-06-13 18:33:02+00:00,"RT @NickWeirShowbiz: This is a cool combo, and rather unexpected… the #StowawayPianoPlayer, in Central Park on #WonderoftheSeas playing a v…","['StowawayPianoPlayer', 'WonderoftheSeas']",Twitter for iPhone
Art Cloud,"NV, CA, NY (South Canada)","I like & retweet #readers of #romance #scifi #mystery #comedy, #books #oilpainting #art #jokes, actor, artist, comedy writer, novelist, novelost 🔭",False,2022-06-13 18:10:22+00:00,"RT @ThineArt: #kobo @KoboDeals #icyrivers

college guy from 31st century

https://t.co/6IZAJ4lbJz

teen time traveler #timetravel #Interste…","['kobo', 'icyrivers', 'timetravel']",Twitter for Android
Burner SC,,Main - @sportscasmm,False,2022-06-13 18:05:43+00:00,"RT @Sportscasmm: #Interstellar #AnneHathaway #ChristopherNolan  #matthewmcconaughey

Interstellar is 1 of THE greatest movies of all time.…","['Interstellar', 'AnneHathaway', 'ChristopherNolan', 'matthewmcconaughey']",Twitter for Android
Hemant,,Sarcasm. Sports. Youtuber.,False,2022-06-13 18:05:30+00:00,"#Interstellar #AnneHathaway #ChristopherNolan  #matthewmcconaughey

Interstellar is 1 of THE greatest movies of all time. 

Waaaay ahead of its time. 

Ppl will understand its greatness decades later. 

https://t.co/KuMFWGAZlN","['Interstellar', 'AnneHathaway', 'ChristopherNolan', 'matthewmcconaughey']",Twitter for Android
iRead Book Tours,,"iRead Book Tours. Getting your books into the hands of readers. Writer, author, blogger, book tour coordinator. #books #bookblogger #bookreviews #giveaways",False,2022-06-13 16:41:28+00:00,"#BookBloggers Wanted: Think #TheHandmaidsTale mixed w Netflix’s #TheWilds &amp;  touch of #Interstellar .  Gordon Jensen's Beware What You Wish For series is a brilliant work of #postapocalyptic fiction. #scifi #sciencefiction #bookreviews #bookstagram 
https://t.co/JukMAix6pG https://t.co/7JeiReUxVS","['BookBloggers', 'TheHandmaidsTale', 'TheWilds', 'Interstellar']",Twitter Web App
Maresson Abano,,"God, grant me the serenity to accept the things I cannot change, the courage to change things I can, and the wisdom to know the difference.",False,2022-06-13 16:36:06+00:00,RT @NASAVoyager: It’s not every day you get photographed when you’re in #interstellar space. @NASA New Horizons is 50x as far from the Sun…,['interstellar'],Twitter for Android
Samir,,Dentistry... Must,False,2022-06-13 16:16:58+00:00,"RT @Rk_life_tweets: Dad,murph,time,stay - Emotional words by interstellar 🪐🌾
#christophernolan #Interstellar https://t.co/QnjXKhjOPK","['christophernolan', 'Interstellar']",Twitter for iPhone
