user_name,user_location,user_description,user_verified,date,text,hashtags,source
Từ Thanh Hoàng,,I am fairly easy going. I am willing to help anyone at any time. I do not like to be taken advantage of,False,2022-06-13 23:43:50+00:00,"RT @ExtinctionWars: We are doing a big collaboration before the final drop on June 14th!

https://t.co/wMbzQWJDS1

#KingdomClash #Extinctio…",['KingdomClash'],Twitter Web App
Từ Thanh Hoàng,,I am fairly easy going. I am willing to help anyone at any time. I do not like to be taken advantage of,False,2022-06-13 23:43:36+00:00,"RT @KingdomClashNFT: We're working on a big collaboration before we update a new version of the game later this month.

https://t.co/9DKucu…",,Twitter Web App
Từ Thanh Hoàng,,I am fairly easy going. I am willing to help anyone at any time. I do not like to be taken advantage of,False,2022-06-13 23:20:40+00:00,"RT @KryptoFighters: 👊GIVEAWAY ALERT👊
🔥BIG Collaboration with @Play2Earntr 
🔥BIG Giveway
🔥BIG Prize

⏰Start: June 14

https://t.co/6l6f2ReEh…",,Twitter Web App
Zona Zebra 7,Madrid,"Escritor, Empresario, Diseñador, YouTuber, Padre, Amante, Fetichista, Compulsivo, Surrealista. Pero aquí... intentaré no ser comercial. Os pondré Música.",False,2022-06-13 21:45:37+00:00,🔊 Appleshine - Film Edit - #Underworld https://t.co/kkFudtBwQq,['Underworld'],Twitter Web App
0/blique,,"“0blique” Japanese-Russian translation / INDEPENDENT ARTIST AGENCY
https://t.co/ISG4W6M6hn",False,2022-06-13 21:29:54+00:00,"RT @ExtinctionWars: We are doing a big collaboration before the final drop on June 14th!

https://t.co/wMbzQWJDS1

#KingdomClash #Extinctio…",['KingdomClash'],Twitter Web App
0/blique,,"“0blique” Japanese-Russian translation / INDEPENDENT ARTIST AGENCY
https://t.co/ISG4W6M6hn",False,2022-06-13 21:29:41+00:00,"RT @KingdomClashNFT: We're working on a big collaboration before we update a new version of the game later this month.

https://t.co/9DKucu…",,Twitter Web App
0/blique,,"“0blique” Japanese-Russian translation / INDEPENDENT ARTIST AGENCY
https://t.co/ISG4W6M6hn",False,2022-06-13 21:29:29+00:00,"RT @KryptoFighters: 👊GIVEAWAY ALERT👊
🔥BIG Collaboration with @Play2Earntr 
🔥BIG Giveway
🔥BIG Prize

⏰Start: June 14

https://t.co/6l6f2ReEh…",,Twitter Web App
daniellephauthor #Akasha,,"Married, Author of #werewolf and #vampire #romance #fantasy #novels with #steamy scenes 🔥❤️",False,2022-06-13 20:23:45+00:00,"What do you get when you mix #Romeo and Juliet, #Underworld, and #Twilight together?

You get Age-Old Enemies, a #steamy #romance #fantasy #book

FR: https://t.co/4Q7owC02QW
EN: https://t.co/wmOTR2lUvM

#books #livres #vampires #romance #fyp #readerscommunity #France #Quebec https://t.co/FhQdEoCnVK","['Romeo', 'Underworld', 'Twilight']",Twitter Web App
Adam Viener,"Reston, VA | NoVa | Washington",Serial Entrepreneur | Search Engine Marketing & Online Monetization Guru. @imwave @yazingllc,False,2022-06-13 19:55:00+00:00,"RT @ExtinctionWars: We are doing a big collaboration before the final drop on June 14th!

https://t.co/wMbzQWJDS1

#KingdomClash #Extinctio…",['KingdomClash'],Twitter Web App
Adam Viener,"Reston, VA | NoVa | Washington",Serial Entrepreneur | Search Engine Marketing & Online Monetization Guru. @imwave @yazingllc,False,2022-06-13 19:54:23+00:00,"RT @KingdomClashNFT: We're working on a big collaboration before we update a new version of the game later this month.

https://t.co/9DKucu…",,Twitter Web App
